Letter ID,Full Text
ASCC 114,"ich schrieb Ihnen seinerzeit, dass mein Monodram „Erwartung“ in Mannheim am Hoftheater zur Uraufführung gelangen soll und ersuchte Sie um eine Erklärung ob Sie es erwerben wollen. Ich wieder hole diese Anfrage, die Sie unbeantwortet ließen, heute und stelle folgende Bedingungen: Ich sende Ihnen heute die Noten und das Textbuch . Ich muss Ihnen, da die Sache drängt und ich Ihre Neigung zum Verschleppen kenne wieder einen Termin stellen. Sie müssen das einsehen, denn ich kann doch unmöglich immer wieder geschädigt werden. Da die Aufführung Mitte Februar sein soll, muss doch der Klavierauszug rechtzeitig aufliegen. Ich werde also annehmen, dass Sie auf das Werk nicht reflektieren, wenn Sie mir von heute in 10 Tagen (d. i. also am 9. Jänner 1910 ) nicht mitgeteilt haben, dass Sie mit den Bedingungen einverstanden sind und der Betrag von 300 Mark angewiesen, der von 200 Mark abgeschrieben ist. Jede andere Wendung, die den Zweck haben könnte die Sache hinauszuschieben, werde ich als Ablehnung ansehen müssen. Uebrigens, was ist also mit Pelleas? Sie schrieben, meine Bedingungen schienen Ihnen annehmbar, sagten aber Direktor Herzka von der Universal Ed. ich müsste gewisse Bedingungen erfüllen, die Sie mir mitgeteilt haben. Welche Bedingungen sollen das denn sein? Was hat das wieder zu bedeuten? Ich muss Ihnen auch in dieser Angelegenheit den selben Termin stellen (9 Jänner 1910) da Nedbal das Werk für nächstes Jahr wünscht und es sich jetzt schon durchstudieren will. Ich bitte sich also auch darüber zu entscheiden. Habe ich bis zum 9. Jänner 1910 nicht schon zusagende Antwort, so werde ich über das Werk ander weitig verfügen, was wie Sie jetzt wissen keine leere Drohung mehr ist; auch keine solche sein soll. Denn diese Absicht ist mir stets ferne gelegen und niemand wäre froher gewesen, wie ich, wenn wir beide hätten gut miteinander auskommen können. Ich hoffe, Sie nehmen mir die nötige Energie nicht übel. Ich muss ja doch ins Reine kommen. Seit dem Dmoll Quartett haben Sie nichts von mir gedruckt, das schädigt mich ja ungemein."
ASCC 1142,"Da ich bereits Ende August zum Musikfest nach Venedig fahre, möchte ich zirka am 2r 25 . d. M. mein Monatsgeld beheben und bitte Sie freundlichst, dieses bereit zu stellen. – Ferner bitte ich Sie, Herrn Bechert zu er suchen, die I. G. f. N. M. möge d ie en Musikern mit teilen, dass ich spätestens am 27. d. M. zwei Proben gehabt haben muss, da ich sonst absagen müsste. Auf Herrn Pollatschek kann ich eventuell bei der Probe verzichten. Alle Anderen müssen bei der Probe da sein. In Venedig müssen alle, auch der Sänger, mindestens einen Tag vor der Aufführung für zwei Proben zur Verfügung stehen. 7. September 1925, Venedig, Teatro La Fenice, Internationale Gesellschaft für Neue Musik, Drittes Kammermusikfest der Internationalen Gesellschaft für Neue Musik Mario Labroca, Streichquartett Nr. 1 Artur Schnabel, Sonate für Klavier Ralph Vaughan Williams, Merciless Beauty Arnold Schönberg, Serenade op. 24 Josef Schwarz, Bariton; Victor Polatschek, Klarinette; Leopold Wlach, Bassklarinette; Fanny Slerak, Mandoline; Hans Schlagradl, Gitarre; Rudolf Kolisch, Violine; Marcel Dick, Viola; Wilhelm Winkler, Violoncello; Arnold Schönberg, Dirigent (Programm, September 1925; ASCI CP5595)"
ASCC 1145,"ich bin nicht in der Lage, über die Ueberset L zung ein entscheidendes Urteil abzugeben. Es macht mir einen etwas schülerhaften Eindruck, aber ich weiss nicht, ob das gut oder schlecht ist. Ich bittee, es Herrn Clark einzuschicken; der hat viel Sinn für derlei und da er auch die Aufführung macht, muss man ihn wohl fragen. Uebri gens hat er den mir bekannten Herr j n Calvacorezzi vor geschlagen, von dem allerdings eine gute Arbeit zu erwar ten wäre. ich habe mit herrn Clark verabredet, dass zuerst die Chöre übersetzt werden sollen, denn er möchte (und müsste) sofort beginnen, die Chöre zu studieren. Bitte das also so zu veranlassen. Anbei die Korrektur. Einen früheren Abzug habe ich nicht erhalten. Wenn der Herr Löwy wirklich einen ge schickt hätte, wäre es seine Pflicht gewesen, bei mir zu urgieren, wenn er ich ihn so lange nicht unerledigt lasse. Eines von Beidem hat er jedenfalls wieder nicht getan und darum kommen meine Sachen ewig nicht heraus. Ich habe schon lange alle Lust verloren und jetzt verliere ich definitiv die Geduld: ich werde mich sehr schwerlich entschliessen k V ö nnen, der UE etwas zur Drucklegung zu geben, wenn das in diesem Tempo weitergeht. bitte auch beiliegenden Brief zu erledigen."
ASCC 1148,"Ich bin ohne Nachricht über das bestellte Notenpapier! Ich brauche insbesondere das Partiturpapier dringendst! Warum wird das nicht etwas rascher erledigt, wenn ich schon sage, dass ich aufgehalten bin?"
ASCC 11564,"Ich dachte mir schon, es sei Ihnen an dem Stich der Quartettstimmen nichts gelegen, weil Sie die seiner zeit dem Rosé-Quartett zur Verfügung gestellten Stimmen , die wir von Röder zurückfordern mussten, nicht wieder an uns oder Röder zurückgeschickt haben. Ich sah darin eine gewisse Absichtlichkeit und beschloss so viel Zeit zu haben wie der Autor! Also packen Sie das Material ein und schicken Sie es unverzüglich an C. G. Röder in Leipzig. Wenn Sie sich klar darüber sein würden, dass wir natur gemäss solche Drucklegungen gleichsam nur „honoris causa“ unterneh men, mit der leisen Hoffnung auf einen Gewinn nach Jahren um nicht zu sagen nach Jahr zehnten, so könnten wir uns über Geschäftliches viel leichter verständigen! Mit Fried und dem Pelleas wird es voraussichtlich nichts werden . F. hat bereits sein Programm für den nächsten Winter veröffentlicht; und „Pelleas und Melisande“ ist nicht in ihm enthalten. Schade. Das hat Ihnen wohl Mahler verdorben. Wir haben wundervolle Tage hier an der Ostsee, sodass wir unsere Heim kehr, die am Montag erfolgen sollte, wohl noch verschieben werden. Ich freue mich zu hören, dass auch Sie einen angenehmen Sommer verlebt . haben. Lassen Sie mal wieder von sich hören. Sie brauchen ja Ihren Groll gegen den Verlag nicht auf mich auszu dehnen."
ASCC 11565,"– ich bin auf der Reise – daher die Verzögerung. Wenn Sie mir die Ausschnitte noch einmal schickten, könnte ich viell. einiges für einen Artikel ver wenden. Ihren Neujahrwunsch erwidere ich herzlichst! An dem ganzen Radau ha ben übrigens meiner Meinung ausschliesslich Ihre Jünglinge Schuld! Sie müssen Ihnen das nächste Mal den Eintritt verwehren. Max Marschalk bezieht sich auf den Skandal anlässlich der Uraufführung von Arnold Schönberg, Streichquartett Nr. 2 op. 10.  Rezensenten berichten von Provokationen und demonstrativen Beifallsbekundungen durch „Jünglinge“ bzw. „Schönbergjünglinge“ (Reichspost 1908). Sammlung von Rezensionen: Eybl 2004, S. 177–278"
ASCC 11566,"Ihrem Wunsche entsprechend sende ich Ihnen anbei die Partitur zu Pelleas und Melisande zurück, die zweite , die in meinem Besitz war. Teilen Sie mir doch bitte mit, wo und wann das Werk aufgeführt wer den soll. Sollen die Betreffenden das Material gratis oder gegen eine Leihgebühr erhalten? – Und nun möchte ich Ihnen streng vertraulich mitteilen, dass der Verlag wahrscheinlich innerhalb eines Mo nats in andere Hände übergehen wird, und dass ich von dem Zeitpunkt an wieder eine grössere Bewegungsfreiheit haben werde.. Ich hoffe, dass wir uns dann auch über die Druckleg e ung Ihrer Werke schnell werden einigen können. Bis dahin haben Sie bitte noch Geduld; viel leicht aber schicken Sie inzwischen irgend etwas von Ihren neue ren Arbeiten , die ich noch nicht kenne. Diese Briefstelle ist der einzige Hinweis auf die Existenz einer zweiten Partitur, die genannte Quelle sowie deren Herstellungszeitpunkt kann nicht eruiert werden. Nachgewiesene Quellen: Partiturreinschrift, autograph (ASGA B 10, Quelle C) Partiturabschrift, möglicherweise autograph; zugleich Autographiervorlage für den Erstdruck, verschollen (ASGA B 10, Quelle G*) Anbei Partitur zu Pelleas und Melisande"
ASCC 11569,"Guten Erfolg für morgen ! Und seien Sie mir nicht böse, dass ich Sie wieder mal warten lasse. Aber ich wollte Ih nen einen besonders netten Brief schreiben; und da zu fand ich im Gedrang der Geschäfte noch nicht Zeit. Ausserdem war ich jetzt 14 Tage verreist."
ASCC 11570,"Ich bin seit 14 Tagen auf der Reise. Daher! Fried, den ich hier traf, jammert nach einem Klavier-Auszug von P. u. M. Haben Sie nicht einen Schüler der sich aufopfern möchte. München Blick vom Turm des neuen Rathauses nach Westen"
ASCC 11571,"In Hass wollen wir auf keinen Fall auseinan dergehen; dazu liegt ja auch gar kein Grund vor! Im Vertrauen will ich Ih nen nur noch sagen, dass Herr Messner, ein sehr musi kalischer Mann ist und über sehr viel Geld verfügt; ausserdem ist er kaufmän nisch erfahren, zudem beraten von einem offenbar steinrei chen Schwiegervater, der sich wahrscheinlich auch noch einmal stark für den Verlag interessieren wird. Also: Eile mit Weile!"
ASCC 1162,"nach reiflicher Ueberlegung: Die Instrumentation der Moussorgsky-Klavierstücke für die Balletzwecke der Wiener Oper kann ich nicht machen. Der entscheidende Grund ist, dass mir der Stil ganz fremd ist und ich auf diesem national-russischen Gebiet, auf welchem Strawinskys Domäne liegt, mich nur äusserst befangen und unsicher bewegen, und wahrscheinlich in meiner Phantasie so beengt fühlen dürfte, dass kaum etwas herauskommen könnte, unter das ich meinen Namen setzen darf. Dabei habe ich es nicht zuende geprüft, ob die Auf gabe für mich eine künstlerische ist und ob ich nicht gar mich in die Dreimäderlhausregion begebe. Desgleichen nicht, ob ich in ein (in irgend ein) Verhältnis zur Staatsoper treten soll. Mir kommt vor, dass Strawinsky der richtige Mann sein könnte, oder Bartok. Vielleicht hat Zemlinsky Lust, der würde sowas großartig machen. Natürlich auch Webern!"
ASCC 1174,"Ich habe in den letzten Monaten unerwarteter Weise hier grosse Abzüge wegen der Einkommensteuer hinnehmen müssen (es geht bis zu 20 % des Einkommens) und bin deswegen etwas knapp worden. Darum sind einige dringende Zahlungen im Rückstand geblieben, welche ich Sie bitte umgehend zu leisten. Mein Konto hat sich ja in der Zwischenzeit ein bischen befreit, wes halb ich Sie bitte, die Beträge auf das General konto zu schreiben. Ausserdem werden Sie schon in den nächsten Tagen die Nachricht bekommen, dass die Suite fertig ist und höchstwahrscheinlich werden wird noch in diesem JahrHalb Halbjahr ein Orchesterwerk dass ich schon angefangen habe , beendet sein. Das sind diesmal ganz nette Gegenleistungen zu denen ich Sie herzlich beglückwünsche. Im Ernst: Die Suite ist ein sehr gutes und ich glaube sogar ansprechendes Stück mit M e l o d i e n und das Orchesterstück wird mindestens ebenso werden. Die Zahlungen sind zu leisten: Gesamtbet. 1423.72.– Indem ich Ihnen im voraus herzlich danke, bitte ich Sie um umgehende Erledigung und gleich zeitige Verständigung da leider alles sehr dringend ist."
ASCC 1179,"heute endlich kann ich Ihnen die letzten Ma nuskripte zu opus 27 u. 28 senden. Die Abschriften haben mich umso mehr aufgehalten, als ich dergleichen heute nur mehr mit grösster Unlust und mit höchstens drittgrösstem Fleiss tue. Zum Glück giebt mir die Akademie derzeit ausser Brot nicht viel zu tun; sonst wäre das noch nicht fertig. In Hinkunft werde ich meine ersten Niederschriften so einrichten, dass sie, photographiert als Druckvorlage dienen können. Viel Arbeit hat mir auch noch das Vorwort gemacht, dessen Wiener Fassung ich noch zweimal ganz umgearbeitet habe, um dann das Ganze zu verwerfen und eine neue zu schreiben, die ich aber auch noch zweimal überarbeitet habe. Jetzt bin ich damit allerdings ziem lich zufrieden, tummle mich aber jedenfalls, sonst schreibe ich am Ende noch eine neue. – Sonst gefällt es mir hier eigentlich überraschend gut. Man achtet mich hier wirklich: ich bin das gar nicht gewöhnt und werde mir bald einbilden, dass ich das gar nicht verdiene. Ich kann in die meisten Theater Freikarten bekommen, während ich in Wien in allen abgewiesen worden bin. Mit Schrekers verkehren wir sehr gern, er ist ein sehr lieber Kerl und ein guter Kamerad und sie ist auch sehr nett. Dann war ich mit Schnabel beisammen, mit Walter, Schünemann , Kestenberg etc. – Ich hoffe Sie waren so freundlich diese Greissle Affä Affäre re günstig zu erledigen: Insbesondere verspreche ich mir eine abschreckende Einwirkung auf Kugel. Lesen Sie bitte auch Greissle ein bischen die von ihm noch wenig gelesenen Leviten. Mir sind solche Angelegenheiten schon darum höchst unerfreulich, weil ich bei eini ger Achtsamkeit mit meinem Gehalt doch recht gut werde leben können! Wir sind in der Pension so zufrieden und finden es so angenehm bekannte und begrenzte Ausgaben zu haben, dass wir vielleicht die ganze Zeit hier bleiben werden. – Wann kommen Sie nach Berlin? Beste Grüße auch von meiner Frau."
ASCC 1186,"anbei sende ich Ihnen einen kleinen Aufsatz für den Pult sowohl, als auch für den Taktstock. Ich bin dazu durch die Diskussion, die dort stattgefunde b n hat, angeregt worden; da ich nun aber nicht ganz sicher bin, ob der Herr Chefredakteur nicht aus irgendeinem mir unbekannten Grunde (einem Wiesengrunde z. B.) bös auf mich ist und von mir nur mehr so wenig hält wie die +++hochverehrete An bruch-Redaktion, so sende ich ihn an Sie direkt, wo ich in altgewohnter Weise Wolwollen und Nachsicht zu finden hoffe. Der Aufsatz kommt, obwohl er von mir ist, diesmal unter mei nem Namen und nicht unter dem dieses nichtswürdigen Plagiators Jens Quer. – Bitte teilen Sie mir gütigst bald mit, ob er ange nommen wurde. Ich werde die ganze Zeit über nicht schlafen kön nen vor Aufregung! Bitte legen Sie vielleicht für alle Fälle ein gutes Wort für mich bei Herrn Dr. Stein ein. Bei dieser Gelegenheit frage ich zum zweiten Male: Wurde der Betrag vom Tischer u. Jagenberg, den Hofmeister überwiesen hat, an das Pelzhaus Horovitz schon gezahlt? Ich erhielt keine Antwort!"
ASCC 1187,"mein Sohn schrieb mir schon das vori gemal, dass man ihn bei Ihnen, als er sein Monatsgeld holen kam, sehr barsch behandelt habe und e e r ausserdem mehrere male kommen musste. Diesmal aber scheint man ihn für beson ders sträflich gehalten zu haben und hat ihn in scheinbar sehr grober Weise abgewiesen. Da ich somit diese kleine Ge fälligkeit von der UE nicht haben kann, so verzichte ich hie mit darauf und werde meine Geldsendungen nunmehr direkt be sorgen. Aber ich muss sagen, ich staune darüber und muss er wähnen, dass ich geglaubt hätte, es würde bei Ihnen ein Bote von mir so aufgenommen, wie ich einen Boten von Ihnen aufnehme. Ich weiss nicht wer der betreffende Herr war, der sich meinem Sohne gegenüber so grossartig vorkommt: aber , wenn ich vielleicht auch berechtigt wäre, ihm gegenüber mich annähernd ebensogrossartig zu fühlen, so habe ich es ihn doch sicher des bisher nicht kosten lassen. Soll ich das nun ebenso machen; oder soll ich weiter mein Prinzip aufrecht hal ten: freundlich zu sein, so lange es irgend möglich ist. Ich muss mich auch darüber beschweren, dass man mir noch immer nicht die letzten Hefte des Anbruch geschickt hat, obwohl ihj ich mehreremale darum gebeten habe. Dann hat man mir vom Jahrbuch nur ein Exemplar geschickt, wo ich doch als Mitarbeiter auf meh rere Anspruch machen kann. Bitte also wenigstens noch 2 Exem pl plare zu senden oder ein paar Separatabdrucke meines Artikels, da ich die für meine Mappen benötige. Bitte teilen Sie mir mit, ob meine Chöre schon im Stich sind. Bis jetzt hat man mir noch nicht ein Wort gesagt über For mat und Stichanordnung. Sonst war das doch Usus. Hat man bei der Kantate bedacht, dass, da sie mit Klavierbe gleitung ist, die Partitur so gross sein muss, dass man daraus spielen kann? Der Stich muss aber doch nicht übermässig gross sein, da man sich ja jetzt daran gewöhnt hat, aus klei neren Noten zu spielen. Mir geht es im ganzen (bis auf meine Gesundheit) hier sehr gut. Wie geht es Ihnen? Ich habe gedacht, Sie Ende Februar hier zu sehen!"
ASCC 1189,"bitte falls der Herr 1. Tischer & Jagenberg durch Hofmeister für mich 42 Mark 15 bezahlen sollte, so wäre dieser Betrag an das Pelzhaus E. Horovitz & Cie Wien I. Neuer Markt 13 zu schicken. Ich glaube ich habe darum schon vor meiner Abreise ge beten, habe aber bis jetzt keine Verständigung, dass es geschehen ist . Ich hätte sehr gerne, dass die 2. Chöre recht rasch herauskom men. Ich bin überzeugt, dass grosses Interesse dafür da sein wird. Kann man das nicht einmal sehr beschleunigen? Gar nichts höre i ich mehr von meinen 3. Texten . Auch sollten mir ja noch 4. einige Exempla re in der definitiven Ausstattung geschickt werden! Machen Sie dafür Propaganda? Und ausserdem hatten wir doch verabredet, dass d dieses Buch auch einem Buchverlag zum Mitvertrieb übergeben werden wird. Ich glaube, dass es sehr leicht sein müsste, davon in kürzester Zeit ein paar tausend Exemplare abzusetzen, da sich doch hiefür auch Leute interessieren lassen, die nicht von Musik wissen! . Das 5. Jahrbuch habe ich noch nicht erhalten, was nicht schön von Herrn Heinsheimer ist, wo ich ihm trotz meiner Kra m n kheit und trotzdem ich anderes zu tun hatte doch rechtzeitig meine Beiträ ge geliefert habe. – Sehr gerne erführe ich von Ihnen, dass die Angele genheit 6. Greissles über welche ich sehr beunruhigt bin, schon ganz geordnet ist, wirklich alle Schulden beglichen, auch die versetzt nb en Sachen (Andenken!) ausgelöst wir sin d, denn die Zinsen fressen ja noch schliesslich das Ganze auf. Auch hoffe ich bestimmt, dass Sie den Herrn Kugel, der jedenfalls eine dunkle Erscheinung ist, tüchtig her unterdrücken. Bitte schreiben Sie mir bald Günstiges hierüber. Ich beginne die Suite fertig zu machen. Wenn ich Glück habe, kann das in 4–5 Wochen der Fall sein. Inzwischen habe ich wie der an etwas Neuem zu arbeiten begonnen, an dem Text zu einergrösseren Kantate (ca 40–45' Dauer). Vielleicht aber schreibe ich vor her noch Lieder. – Die Auszahlung an Frl. 7. Novakovic für Görgi haben Sie wahrscheinlich schon geleistet. Morgen (heute gieng es nicht mehr) zahle ich den betreffenden Betrag (250 Sch.) morgen ein. Die A Auszahlung an Greissle unterbleibt solange, bis ich gegenteili ges erbitten werde. – Der Herr Dr. Heinsheimer hat mich ersucht, ihm den Artikel des Jahrbuchs für die Flugblätter zu überlassen. Ich finde diesen aber für diesen Zweck ganz ungeeignet und würde ihnen lieber einen andern Artikel extra dafür schreiben. Er könn te zuerst im Anbruch (warum wird mir dieser nicht zugeschickt?) er scheinen. Ich habe etwas angefangen, aber etwas umfangreicher. Nun habe ich Ihnen eine Menge geschrieben. Hoffentlich höre ich auch bald etwas nettes aus Wien."
ASCC 1197,"diese „Anfrage“ der Stecherei, nach dem sie mit dem Stich begonnen hat, finde ich sehr komisch! Es wäre doch eben früher zu entscheiden gewesen! Wenn nicht mit diesem Stechzeug zwei Systeme auf die Seite giengen, könnte man nur folgendes tun. I. Eventuell die Chornoten einen Grad kleiner nehmen. Das aber nur dann, wenn sie für den Dirigenten dann noch gross genug sind! II. Notfalls könnte man höchstens noch die beiden Streichinstru mente auch kleiner (aber in jedenfalls derselben Grösse wie die Chorstimmen) machen. (Die Chorstimmen brauchen nicht mehr aufzufallen, als alles andere; denn da der Dirigent mit den Chören am meisten Probieren muss, kennt der die Partitur in dieser Hin sicht ohnedies am besten). III. Müsste man sich aber entschliessen, die alle Begleitungsstim men kleiner zu stechen (was ich sehr ungünstig fände) so gienge das nur, wenn extra eine Stimme für den Klavierspieler heraus gegeben würde. In dieser müsste die Klavierstimme dann so gross gestochen sein, wie in Klavierquintetten, und die Chor- und Streicherstimmen entsprechend kleiner. Also selbstverständ lich eine Partitur! Für die Herausgabe einer solchen Stimme bin ich ja sehr, weil die Aufführenden dann nicht zwei ganze Exemplare des ganzen Opus kaufen müssten. Aber ebenso sehr bin ich eigentlich gegen zweierlei Schriften in einer Dirigierpartitur. Vielleicht hätte man ein etwas grösseres Format von vornherein wählen sollen. Der Stich könnte alsDirigierpartitur kaum kleiner genommen werden. Als Spielstim me (daran scheint die Stecherei gar nicht gedacht zu haben) ist sie ohnedies schon fast zu klein. Zwei Systeme sollten beim letzten Stück unbedingt auf der Seite stehen. ACHTUNG: bitte auf jeder Seite alle Systeme zu bringen auch wenn die betreffenden Stimmen Pausen haben. Bei einer so kleinen Partitur gewöhnt man sich nicht so leicht an differierende Notenbilder. Ich bin mit Ihrem Vorschlag, auf Quartformat zu drucken sehr einverstanden. Es sieht viel besser aus. Bitte machen Sie mir auch gleich Vorschläge für die Herstel lung des Stimmenmaterials. Ich lege die Probeseite gleich hier bei, damit der Brief noch heute fortgeht. Bitte beschleunigen Sie den Stich aufs äusser ste. Es ist nicht unmöglich, dass ich noch heuer eine Aufführung davon mache."
ASCC 1203,"Bitte veranlassen Sie, dass d s a s Honorar für meinen letzten Artikel sofort gesandt wird an: Horovitz & Cie, Wien I Neuer Markt 13 und dass ich von dieser Zahlung benachrichtigt werde. Ich denke der Titel „Mechanische Musikinstrumente“ passt ganz gut. Ich habe gedacht dass Sie ihn unter die Antworten auf Rundfragen einreihen werden. Was machen Sie? Schreiben Sie doch öfters! Wem bin ich den Betrag für den Lisztband schuldig? Eventuell könnte er auf mein Konto geschrieben werden. Haben Sie noch etwas mit der Internationalen Neuen Musik-Banda zu tun?"
